x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,1
8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,1
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,1
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,1
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,1
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,1
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,1
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,0
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,0
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,0
7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,1
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,0
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,0
9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,1
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,0
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,0
10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,1
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,0
8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,0
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,1
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,0
8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,0
7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,0
9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,1
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,0
6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,0
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,0
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,1
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,1
7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,1
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,1
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,0
10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,1
9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,1
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,1
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,0
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,0
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,1
9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,1
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,1
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,1
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,1
9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,0
7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,1
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,1
7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,1
8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,0
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,1
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,1
7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,0
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,0
7.6,0.41,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2,0
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,0
