x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,1
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,0
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,0
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,0
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,1
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,0
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,0
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,1
7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,0
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,0
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,1
6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,0
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,1
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,0
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,1
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,1
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,0
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,1
9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,1
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,0
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,1
8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,1
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,1
5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,1
7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,1
7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,0
6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,0
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,0
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,0
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,1
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,1
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,1
6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,0
9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,1
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,1
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,1
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,1
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,1
7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,1
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,0
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,1
7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,1
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,1
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,1
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,0
8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,0
6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,0
7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,1
9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,1
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,1
8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,1
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,1
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,0
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,1
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,1
10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,1
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,0
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,0
8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,0
7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,1
7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,0
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,1
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,1
7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,1
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,1
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,0
9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,0
7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,0
5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,1
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,0
7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,0
9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,1
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,0
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,0
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,0
10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,0
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,0
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,1
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,1
8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,0
9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,1
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,1
9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,1
6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,0
8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,0
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,0
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,1
